,date,state,city_or_county,address,n_killed,n_injured,latitude,longitude,total,full_address,month_name,month_number
2034,2013-01-01,Pennsylvania,Mckeesport,1506 Versailles Avenue and Coursin Street,0,4,40.3467,-79.8559,4,"1506 Versailles Avenue and Coursin Street, Mckeesport, Pennsylvania",January,1
2033,2013-01-01,California,Hawthorne,13500 block of Cerise Avenue,1,3,33.909,-118.333,4,"13500 block of Cerise Avenue, Hawthorne, California",January,1
2032,2013-01-01,Ohio,Lorain,1776 East 28th Street,1,3,41.4455,-82.1377,4,"1776 East 28th Street, Lorain, Ohio",January,1
2031,2013-01-05,Colorado,Aurora,16000 block of East Ithaca Place,4,0,39.6518,-104.802,4,"16000 block of East Ithaca Place, Aurora, Colorado",January,1
2030,2013-01-07,North Carolina,Greensboro,307 Mourning Dove Terrace,2,2,36.114,-79.9569,4,"307 Mourning Dove Terrace, Greensboro, North Carolina",January,1
2029,2013-01-07,Oklahoma,Tulsa,6000 block of South Owasso,4,0,36.2405,-95.9768,4,"6000 block of South Owasso, Tulsa, Oklahoma",January,1
2028,2013-01-19,New Mexico,Albuquerque,2806 Long Lane,5,0,34.9791,-106.716,5,"2806 Long Lane, Albuquerque, New Mexico",January,1
2027,2013-01-21,Louisiana,New Orleans,LaSalle Street and Martin Luther King Jr. Boulevard,0,5,29.9435,-90.0836,5,"LaSalle Street and Martin Luther King Jr. Boulevard, New Orleans, Louisiana",January,1
2026,2013-01-21,California,Brentwood,1100 block of Breton Drive,0,4,37.9656,-121.718,4,"1100 block of Breton Drive, Brentwood, California",January,1
2025,2013-01-23,Maryland,Baltimore,1500 block of W. Fayette St.,1,6,39.2899,-76.6412,7,"1500 block of W. Fayette St., Baltimore, Maryland",January,1
2024,2013-01-23,Tennessee,Chattanooga,1501 Dodds Ave,1,3,35.0221,-85.2697,4,"1501 Dodds Ave, Chattanooga, Tennessee",January,1
2023,2013-01-25,Missouri,Saint Louis,W Florissant Ave and Riverview Blvd,1,3,38.7067,-90.2494,4,"W Florissant Ave and Riverview Blvd, Saint Louis, Missouri",January,1
2022,2013-01-26,District of Columbia,Washington,2403 Benning Road Northeast,0,5,38.8978,-76.9717,5,"2403 Benning Road Northeast, Washington, District of Columbia",January,1
2021,2013-01-26,Ohio,Springfield,601 West Main Street,1,3,39.9252,-83.8218,4,"601 West Main Street, Springfield, Ohio",January,1
2020,2013-01-26,Louisiana,Charenton,1000 block of Flat Town Road,2,3,29.8816,-91.5251,5,"1000 block of Flat Town Road, Charenton, Louisiana",January,1
2019,2013-02-02,Tennessee,Memphis,2514 Mount Moriah,0,5,35.0803,-89.8871,5,"2514 Mount Moriah, Memphis, Tennessee",February,2
2018,2013-02-03,California,Yuba (county),5800 block of Poplar Avenue,1,3,39.1236,-121.583,4,"5800 block of Poplar Avenue, Yuba (county), California",February,2
2017,2013-02-07,Illinois,Chicago,2500 block of East 75th Street,0,4,41.7592,-87.5628,4,"2500 block of East 75th Street, Chicago, Illinois",February,2
2016,2013-02-09,Louisiana,New Orleans,400 block of Bourbon Street,0,4,29.9563,-90.0676,4,"400 block of Bourbon Street, New Orleans, Louisiana",February,2
2015,2013-02-11,California,Vallejo,800 block of Humboldt Street,1,4,38.1072,-122.228,5,"800 block of Humboldt Street, Vallejo, California",February,2
2014,2013-02-11,Delaware,Wilmington,500 North King Street,3,2,39.7407,-75.5499,5,"500 North King Street, Wilmington, Delaware",February,2
2013,2013-02-12,Utah,Midvale,8286 Adams Street and 450 West Street,4,1,40.6008,-111.903,5,"8286 Adams Street and 450 West Street, Midvale, Utah",February,2
2012,2013-02-19,California,Orange (county),Katella Avenue,4,3,33.8031,-117.943,7,"Katella Avenue, Orange (county), California",February,2
2011,2013-02-21,Oklahoma,Tulsa,1200 block of North 89th East Avenue,1,3,36.1722,-95.8778,4,"1200 block of North 89th East Avenue, Tulsa, Oklahoma",February,2
2010,2013-02-22,Michigan,Grand Rapids,1447 Grandville Ave. SW,0,4,42.9371,-85.6853,4,"1447 Grandville Ave. SW, Grand Rapids, Michigan",February,2
2009,2013-02-23,California,Lancaster,43145 Business Center Parkway,0,4,34.6666,-118.131,4,"43145 Business Center Parkway, Lancaster, California",February,2
2008,2013-02-24,Georgia,Macon,2800 block of Mercer University Drive,0,8,32.826,-83.6704,8,"2800 block of Mercer University Drive, Macon, Georgia",February,2
2007,2013-03-02,Louisiana,Shreveport,7000 block of Burlingame Boulevard,1,3,32.442,-93.7726,4,"7000 block of Burlingame Boulevard, Shreveport, Louisiana",March,3
2006,2013-03-03,Georgia,Moultrie,224 Second Street Northwest,2,2,31.1824,-83.7912,4,"224 Second Street Northwest, Moultrie, Georgia",March,3
2005,2013-03-03,Michigan,Saginaw (county),4030 Dixie Hwy,0,4,43.3944,-83.9082,4,"4030 Dixie Hwy, Saginaw (county), Michigan",March,3
2004,2013-03-04,California,Los Banos,800 block of La Mesa Lane,1,3,37.0857,-120.828,4,"800 block of La Mesa Lane, Los Banos, California",March,3
2003,2013-03-05,Indiana,Indianapolis,1800 block of Edinburge Square,1,3,39.7927,-86.0328,4,"1800 block of Edinburge Square, Indianapolis, Indiana",March,3
2002,2013-03-07,Mississippi,Jackson,2900 block of Greenwood Avenue,2,2,32.2649,-90.2141,4,"2900 block of Greenwood Avenue, Jackson, Mississippi",March,3
2001,2013-03-10,Missouri,Kansas City,9331 Hillcrest Rd,0,5,38.955,-94.5211,5,"9331 Hillcrest Rd, Kansas City, Missouri",March,3
2000,2013-03-11,District of Columbia,Washington,1200 North Capitol Street,0,13,38.9062,-77.0099,13,"1200 North Capitol Street, Washington, District of Columbia",March,3
1999,2013-03-13,California,Oceanside,504 Calle Montecito,2,2,33.2498,-117.309,4,"504 Calle Montecito, Oceanside, California",March,3
1998,2013-03-13,New York,Mohawk,17 W Main St,6,2,43.011,-75.0058,8,"17 W Main St, Mohawk, New York",March,3
1997,2013-03-14,California,Modesto,1400 block of Western Way,0,4,37.626,-121.011,4,"1400 block of Western Way, Modesto, California",March,3
